2024-05-07 22:30:06:5371	../../../files/testListWithPickListSize100.txt
instanceNumber	DistanceMatrixRunningTime	NumberOfStagnantGeneration	PopulationSize	CrossoverProbability	MutationProbability	CrossoverOperator	MutationOperator	TravelledDistance	RunningTime
1	0	50	50	0.6	0.005	PMX	Swap	4260.92	0.323
1	0	50	50	0.6	0.05	PMX	Swap	2901.008	3.376
1	0	50	50	0.6	0.1	PMX	Swap	2530.048	4.511
1	0	50	50	0.9	0.005	PMX	Swap	3991.608	1.526
1	0	50	50	0.9	0.05	PMX	Swap	2767.844	5.884
1	0	50	50	0.9	0.1	PMX	Swap	2612.208	6.005
1	0	50	100	0.6	0.005	PMX	Swap	3930.084	1.579
1	0	50	100	0.6	0.05	PMX	Swap	2672.512	7.222
1	0	50	100	0.6	0.1	PMX	Swap	2303.224	11.498
1	0	50	100	0.9	0.005	PMX	Swap	3697.712	2.752
1	0	50	100	0.9	0.05	PMX	Swap	2418.472	12.381
1	0	50	100	0.9	0.1	PMX	Swap	2491.6	9.747
1	0	50	200	0.6	0.005	PMX	Swap	3412.816	5.921
1	0	50	200	0.6	0.05	PMX	Swap	2226.46	16.622
1	0	50	200	0.6	0.1	PMX	Swap	2239.38	14.897
1	0	50	200	0.9	0.005	PMX	Swap	3205.228	14.049
1	0	50	200	0.9	0.05	PMX	Swap	2147.968	26.753
1	0	50	200	0.9	0.1	PMX	Swap	2111.5	29.899
1	0	150	50	0.6	0.005	PMX	Swap	3674.136	12.099
1	0	150	50	0.6	0.05	PMX	Swap	2401.964	6.448
1	0	150	50	0.6	0.1	PMX	Swap	2277.752	5.889
1	0	150	50	0.9	0.005	PMX	Swap	3542.176	7.643
1	0	150	50	0.9	0.05	PMX	Swap	2213.42	14.604
1	0	150	50	0.9	0.1	PMX	Swap	2090.912	12.389
1	0	150	100	0.6	0.005	PMX	Swap	3232.796	18.206
1	0	150	100	0.6	0.05	PMX	Swap	2090.632	19.424
1	0	150	100	0.6	0.1	PMX	Swap	2002.936	19.237
1	0	150	100	0.9	0.005	PMX	Swap	3040.888	23.835
1	0	150	100	0.9	0.05	PMX	Swap	2230.528	23.681
