2024-05-08 04:37:24:4841	../../../files/testListWithPickListSize100.txt
instanceNumber	DistanceMatrixRunningTime	NumberOfStagnantGeneration	PopulationSize	CrossoverProbability	MutationProbability	CrossoverOperator	MutationOperator	TravelledDistance	RunningTime
1	0	150	200	0.9	0.1	OX2	Displacement	1570.644	125.149
1	0	150	200	0.9	0.1	OX2	Insertion	1979.512	109.052
1	0	150	200	0.9	0.1	OX2	Inversion	1294.48	129.858
1	0	150	200	0.9	0.1	OX2	Shuffle	2592.536	72.887
1	0	150	200	0.9	0.1	OX2	Swap	2161.388	71.723
1	0	150	200	0.9	0.1	PMX	Displacement	1309.216	75.834
1	0	150	200	0.9	0.1	PMX	Insertion	1756.08	91.707
1	0	150	200	0.9	0.1	PMX	Inversion	1136.216	52.014
1	0	150	200	0.9	0.1	PMX	Shuffle	2076.604	31.603
1	0	150	200	0.9	0.1	PMX	Swap	2017.208	44.003
1	0	150	200	0.9	0.1	PositionBased	Displacement	1550.604	50.809
1	0	150	200	0.9	0.1	PositionBased	Insertion	2083.86	39.374
1	0	150	200	0.9	0.1	PositionBased	Inversion	1320.9	64.903
1	0	150	200	0.9	0.1	PositionBased	Shuffle	2709.676	46.975
1	0	150	200	0.9	0.1	PositionBased	Swap	2266.528	68.369
2	0	150	200	0.9	0.1	OX2	Displacement	1522.2	139.147
2	0	150	200	0.9	0.1	OX2	Insertion	1920.976	101.125
2	0	150	200	0.9	0.1	OX2	Inversion	1251.88	110.106
2	0	150	200	0.9	0.1	OX2	Shuffle	2364.98	124.329
2	0	150	200	0.9	0.1	OX2	Swap	2021.36	117.863
2	0	150	200	0.9	0.1	PMX	Displacement	1315.324	29.789
2	0	150	200	0.9	0.1	PMX	Insertion	1654.108	64.259
2	0	150	200	0.9	0.1	PMX	Inversion	1106.9	55.483
2	0	150	200	0.9	0.1	PMX	Shuffle	2037.92	31.525
2	0	150	200	0.9	0.1	PMX	Swap	1830.244	64.434
2	0	150	200	0.9	0.1	PositionBased	Displacement	1551.152	67.397
2	0	150	200	0.9	0.1	PositionBased	Insertion	1906.616	84.234
2	0	150	200	0.9	0.1	PositionBased	Inversion	1258.136	76.667
2	0	150	200	0.9	0.1	PositionBased	Shuffle	2551.7	21.744
2	0	150	200	0.9	0.1	PositionBased	Swap	2241.4	45.65
3	0	150	200	0.9	0.1	OX2	Displacement	1581.588	113.897
3	0	150	200	0.9	0.1	OX2	Insertion	1971.448	111.866
3	0	150	200	0.9	0.1	OX2	Inversion	1312.568	109.612
3	0	150	200	0.9	0.1	OX2	Shuffle	2539.704	39.096
3	0	150	200	0.9	0.1	OX2	Swap	2180.808	64.235
3	0	150	200	0.9	0.1	PMX	Displacement	1216.92	77.643
3	0	150	200	0.9	0.1	PMX	Insertion	1646.1	89.652
3	0	150	200	0.9	0.1	PMX	Inversion	1104.792	63.199
3	0	150	200	0.9	0.1	PMX	Shuffle	2020.22	56.296
3	0	150	200	0.9	0.1	PMX	Swap	1897.008	50.128
3	0	150	200	0.9	0.1	PositionBased	Displacement	1593.008	65.244
3	0	150	200	0.9	0.1	PositionBased	Insertion	1986.868	38.706
3	0	150	200	0.9	0.1	PositionBased	Inversion	1261.884	73.808
3	0	150	200	0.9	0.1	PositionBased	Shuffle	2555.108	42.652
3	0	150	200	0.9	0.1	PositionBased	Swap	2161.94	46.309
4	0	150	200	0.9	0.1	OX2	Displacement	1629.876	93.412
4	0	150	200	0.9	0.1	OX2	Insertion	2086.552	144.215
4	0	150	200	0.9	0.1	OX2	Inversion	1412.26	137.89
4	0	150	200	0.9	0.1	OX2	Shuffle	2519.368	89.937
4	0	150	200	0.9	0.1	OX2	Swap	2385.112	72.973
4	0	150	200	0.9	0.1	PMX	Displacement	1343.568	70.739
4	0	150	200	0.9	0.1	PMX	Insertion	1886.184	46.158
4	0	150	200	0.9	0.1	PMX	Inversion	1220.06	48.186
4	0	150	200	0.9	0.1	PMX	Shuffle	2184.54	30.524
4	0	150	200	0.9	0.1	PMX	Swap	1950.388	36.235
4	0	150	200	0.9	0.1	PositionBased	Displacement	1699.172	50.958
4	0	150	200	0.9	0.1	PositionBased	Insertion	2007.504	47.827
4	0	150	200	0.9	0.1	PositionBased	Inversion	1422.112	64.309
4	0	150	200	0.9	0.1	PositionBased	Shuffle	2577.268	42.247
4	0	150	200	0.9	0.1	PositionBased	Swap	2232.244	45.307
5	0	150	200	0.9	0.1	OX2	Displacement	1445.68	127.473
5	0	150	200	0.9	0.1	OX2	Insertion	1917.436	132.501
5	0	150	200	0.9	0.1	OX2	Inversion	1184.548	106.333
5	0	150	200	0.9	0.1	OX2	Shuffle	2461.88	79.059
5	0	150	200	0.9	0.1	OX2	Swap	2129.812	65.077
5	0	150	200	0.9	0.1	PMX	Displacement	1192.728	107.763
5	0	150	200	0.9	0.1	PMX	Insertion	1631.268	78.523
5	0	150	200	0.9	0.1	PMX	Inversion	1057.512	42.333
5	0	150	200	0.9	0.1	PMX	Shuffle	2011.992	53.711
5	0	150	200	0.9	0.1	PMX	Swap	1856.304	41.46
5	0	150	200	0.9	0.1	PositionBased	Displacement	1564.964	59.397
5	0	150	200	0.9	0.1	PositionBased	Insertion	1894.528	68.334
5	0	150	200	0.9	0.1	PositionBased	Inversion	1242.128	45.918
5	0	150	200	0.9	0.1	PositionBased	Shuffle	2600.16	31.547
5	0	150	200	0.9	0.1	PositionBased	Swap	2193.612	29.373
