2024-05-07 21:43:19:0145	../../../files/testListWithPickListSize050.txt
instanceNumber	DistanceMatrixRunningTime	NumberOfStagnantGeneration	PopulationSize	CrossoverProbability	MutationProbability	CrossoverOperator	MutationOperator	TravelledDistance	RunningTime
1	0	50	50	0.6	0.005	PMX	Swap	1953.428	0.214
1	0	50	50	0.6	0.05	PMX	Swap	1526.368	0.876
1	0	50	50	0.6	0.1	PMX	Swap	1315.18	0.884
1	0	50	50	0.9	0.005	PMX	Swap	1830.752	0.378
1	0	50	50	0.9	0.05	PMX	Swap	1368.868	0.579
1	0	50	50	0.9	0.1	PMX	Swap	1372.212	1.117
1	0	50	100	0.6	0.005	PMX	Swap	1822.496	0.34
1	0	50	100	0.6	0.05	PMX	Swap	1299.556	1.501
1	0	50	100	0.6	0.1	PMX	Swap	1175.324	1.834
1	0	50	100	0.9	0.005	PMX	Swap	1708.988	0.634
1	0	50	100	0.9	0.05	PMX	Swap	1307.776	2.662
1	0	50	100	0.9	0.1	PMX	Swap	1199.164	2.308
1	0	50	200	0.6	0.005	PMX	Swap	1648.064	0.591
1	0	50	200	0.6	0.05	PMX	Swap	1252.104	2.092
1	0	50	200	0.6	0.1	PMX	Swap	1147.396	2.589
1	0	50	200	0.9	0.005	PMX	Swap	1546.86	1.29
1	0	50	200	0.9	0.05	PMX	Swap	1177.148	4.692
1	0	50	200	0.9	0.1	PMX	Swap	1198.04	4.045
1	0	150	50	0.6	0.005	PMX	Swap	1816.168	2.006
1	0	150	50	0.6	0.05	PMX	Swap	1251.252	2.309
1	0	150	50	0.6	0.1	PMX	Swap	1206.168	1.475
1	0	150	50	0.9	0.005	PMX	Swap	1649.824	1.257
1	0	150	50	0.9	0.05	PMX	Swap	1238.196	3.784
1	0	150	50	0.9	0.1	PMX	Swap	1182.896	2.1
1	0	150	100	0.6	0.005	PMX	Swap	1613.056	4.5
1	0	150	100	0.6	0.05	PMX	Swap	1175.484	3.252
1	0	150	100	0.6	0.1	PMX	Swap	1209.168	1.395
1	0	150	100	0.9	0.005	PMX	Swap	1402.684	7.575
1	0	150	100	0.9	0.05	PMX	Swap	1128.192	3.991
1	0	150	100	0.9	0.1	PMX	Swap	1146.732	3.827
1	0	150	200	0.6	0.005	PMX	Swap	1435.78	10.975
1	0	150	200	0.6	0.05	PMX	Swap	1174	4.72
1	0	150	200	0.6	0.1	PMX	Swap	1137.404	7.674
1	0	150	200	0.9	0.005	PMX	Swap	1277.176	8.392
1	0	150	200	0.9	0.05	PMX	Swap	1087.032	7.349
1	0	150	200	0.9	0.1	PMX	Swap	1163.084	7.852
2	0	50	50	0.6	0.005	PMX	Swap	1997.076	0.113
2	0	50	50	0.6	0.05	PMX	Swap	1432.104	1.075
2	0	50	50	0.6	0.1	PMX	Swap	1356.504	0.789
2	0	50	50	0.9	0.005	PMX	Swap	1961.468	0.147
2	0	50	50	0.9	0.05	PMX	Swap	1467.372	0.966
2	0	50	50	0.9	0.1	PMX	Swap	1342.96	0.991
2	0	50	100	0.6	0.005	PMX	Swap	1842.272	0.479
2	0	50	100	0.6	0.05	PMX	Swap	1416.892	1.046
2	0	50	100	0.6	0.1	PMX	Swap	1222.7	2.008
2	0	50	100	0.9	0.005	PMX	Swap	1621.136	0.745
2	0	50	100	0.9	0.05	PMX	Swap	1284.924	2.728
2	0	50	100	0.9	0.1	PMX	Swap	1192.636	2.537
2	0	50	200	0.6	0.005	PMX	Swap	1579.292	1.115
2	0	50	200	0.6	0.05	PMX	Swap	1241.672	3.75
2	0	50	200	0.6	0.1	PMX	Swap	1215.948	3.053
2	0	50	200	0.9	0.005	PMX	Swap	1575.5	1.88
2	0	50	200	0.9	0.05	PMX	Swap	1202.796	3.574
2	0	50	200	0.9	0.1	PMX	Swap	1122.76	4.476
2	0	150	50	0.6	0.005	PMX	Swap	1903.672	0.219
2	0	150	50	0.6	0.05	PMX	Swap	1259.504	1.906
2	0	150	50	0.6	0.1	PMX	Swap	1159.092	2.576
2	0	150	50	0.9	0.005	PMX	Swap	1726.964	0.429
2	0	150	50	0.9	0.05	PMX	Swap	1230.108	4.671
2	0	150	50	0.9	0.1	PMX	Swap	1257.2	2.983
2	0	150	100	0.6	0.005	PMX	Swap	1691.536	1.503
2	0	150	100	0.6	0.05	PMX	Swap	1236.42	5.258
2	0	150	100	0.6	0.1	PMX	Swap	1153.52	3.077
2	0	150	100	0.9	0.005	PMX	Swap	1378.452	7.06
2	0	150	100	0.9	0.05	PMX	Swap	1179.016	6.652
2	0	150	100	0.9	0.1	PMX	Swap	1219.208	4.416
2	0	150	200	0.6	0.005	PMX	Swap	1429.388	9.535
2	0	150	200	0.6	0.05	PMX	Swap	1151.784	8.818
2	0	150	200	0.6	0.1	PMX	Swap	1150.048	4.684
2	0	150	200	0.9	0.005	PMX	Swap	1314.124	12.07
2	0	150	200	0.9	0.05	PMX	Swap	1132.412	8.604
2	0	150	200	0.9	0.1	PMX	Swap	1151.388	7.944
3	0	50	50	0.6	0.005	PMX	Swap	1807.804	0.094
3	0	50	50	0.6	0.05	PMX	Swap	1310.664	0.761
3	0	50	50	0.6	0.1	PMX	Swap	1250.236	0.674
3	0	50	50	0.9	0.005	PMX	Swap	1687.536	0.163
3	0	50	50	0.9	0.05	PMX	Swap	1251.648	1.001
3	0	50	50	0.9	0.1	PMX	Swap	1255.204	1.486
3	0	50	100	0.6	0.005	PMX	Swap	1660.368	0.778
3	0	50	100	0.6	0.05	PMX	Swap	1211.352	1.74
3	0	50	100	0.6	0.1	PMX	Swap	1129.908	1.238
3	0	50	100	0.9	0.005	PMX	Swap	1548.884	0.674
3	0	50	100	0.9	0.05	PMX	Swap	1216.908	0.957
3	0	50	100	0.9	0.1	PMX	Swap	1099.748	1.932
3	0	50	200	0.6	0.005	PMX	Swap	1501.78	0.667
3	0	50	200	0.6	0.05	PMX	Swap	1089.988	2.279
3	0	50	200	0.6	0.1	PMX	Swap	1072.536	2.544
3	0	50	200	0.9	0.005	PMX	Swap	1392.404	1.306
3	0	50	200	0.9	0.05	PMX	Swap	1057.688	4.607
3	0	50	200	0.9	0.1	PMX	Swap	1039.472	4.113
3	0	150	50	0.6	0.005	PMX	Swap	1627.82	1.111
3	0	150	50	0.6	0.05	PMX	Swap	1191.78	2.584
3	0	150	50	0.6	0.1	PMX	Swap	1091.976	2.085
3	0	150	50	0.9	0.005	PMX	Swap	1492.756	2.301
3	0	150	50	0.9	0.05	PMX	Swap	1149.5	1.783
3	0	150	50	0.9	0.1	PMX	Swap	1030.98	3.779
3	0	150	100	0.6	0.005	PMX	Swap	1422.596	3.66
3	0	150	100	0.6	0.05	PMX	Swap	1126.968	5.737
3	0	150	100	0.6	0.1	PMX	Swap	1100.132	5.405
3	0	150	100	0.9	0.005	PMX	Swap	1255.44	9.311
3	0	150	100	0.9	0.05	PMX	Swap	1030.692	4.499
3	0	150	100	0.9	0.1	PMX	Swap	1118.924	3.581
3	0	150	200	0.6	0.005	PMX	Swap	1351.084	5.537
3	0	150	200	0.6	0.05	PMX	Swap	1048.964	8.156
3	0	150	200	0.6	0.1	PMX	Swap	1011.304	4.594
3	0	150	200	0.9	0.005	PMX	Swap	1181.44	14.226
3	0	150	200	0.9	0.05	PMX	Swap	1086.312	4.484
3	0	150	200	0.9	0.1	PMX	Swap	1001.836	7.435
4	0	50	50	0.6	0.005	PMX	Swap	2183.452	0.143
4	0	50	50	0.6	0.05	PMX	Swap	1524.272	0.678
4	0	50	50	0.6	0.1	PMX	Swap	1393.796	1.042
4	0	50	50	0.9	0.005	PMX	Swap	1943.128	0.254
4	0	50	50	0.9	0.05	PMX	Swap	1475.292	0.814
4	0	50	50	0.9	0.1	PMX	Swap	1358.416	0.936
4	0	50	100	0.6	0.005	PMX	Swap	1854.8	0.209
4	0	50	100	0.6	0.05	PMX	Swap	1302.244	2.224
4	0	50	100	0.6	0.1	PMX	Swap	1364.72	1.666
4	0	50	100	0.9	0.005	PMX	Swap	1768.404	1.487
4	0	50	100	0.9	0.05	PMX	Swap	1263.168	2.235
4	0	50	100	0.9	0.1	PMX	Swap	1181.46	2.026
4	0	50	200	0.6	0.005	PMX	Swap	1575.112	0.821
4	0	50	200	0.6	0.05	PMX	Swap	1274.06	2.934
4	0	50	200	0.6	0.1	PMX	Swap	1230.132	4.133
