2024-05-08 03:24:05:7202	../../../files/testListWithPickListSize050.txt
instanceNumber	DistanceMatrixRunningTime	NumberOfStagnantGeneration	PopulationSize	CrossoverProbability	MutationProbability	CrossoverOperator	MutationOperator	TravelledDistance	RunningTime
1	0	150	200	0.9	0.05	OX2	Displacement	966.088	23.035
1	0	150	200	0.9	0.05	OX2	Insertion	1069.596	11.189
1	0	150	200	0.9	0.05	OX2	Inversion	852.92	15.234
1	0	150	200	0.9	0.05	OX2	Shuffle	1232.644	10.775
1	0	150	200	0.9	0.05	OX2	Swap	1179.016	13.635
1	0	150	200	0.9	0.05	PMX	Displacement	895.872	8.912
1	0	150	200	0.9	0.05	PMX	Insertion	1036.3	8.566
1	0	150	200	0.9	0.05	PMX	Inversion	837.616	6.829
1	0	150	200	0.9	0.05	PMX	Shuffle	1181.364	6.348
1	0	150	200	0.9	0.05	PMX	Swap	1171.512	5.281
1	0	150	200	0.9	0.05	PositionBased	Displacement	976.64	10.321
1	0	150	200	0.9	0.05	PositionBased	Insertion	1066.112	10.561
1	0	150	200	0.9	0.05	PositionBased	Inversion	904.392	11.854
1	0	150	200	0.9	0.05	PositionBased	Shuffle	1316.12	8.744
1	0	150	200	0.9	0.05	PositionBased	Swap	1156.612	11.967
2	0	150	200	0.9	0.05	OX2	Displacement	954.52	21.091
2	0	150	200	0.9	0.05	OX2	Insertion	1102.72	26.587
2	0	150	200	0.9	0.05	OX2	Inversion	876.496	13.638
2	0	150	200	0.9	0.05	OX2	Shuffle	1364.216	9.716
2	0	150	200	0.9	0.05	OX2	Swap	1186.472	16.27
2	0	150	200	0.9	0.05	PMX	Displacement	889.444	10.007
2	0	150	200	0.9	0.05	PMX	Insertion	986.38	12.453
2	0	150	200	0.9	0.05	PMX	Inversion	847.184	12.78
2	0	150	200	0.9	0.05	PMX	Shuffle	1261.204	13.372
2	0	150	200	0.9	0.05	PMX	Swap	1136.604	7.451
2	0	150	200	0.9	0.05	PositionBased	Displacement	990.464	9.573
2	0	150	200	0.9	0.05	PositionBased	Insertion	1051.744	9.412
2	0	150	200	0.9	0.05	PositionBased	Inversion	891.788	13.165
2	0	150	200	0.9	0.05	PositionBased	Shuffle	1281.564	7.917
2	0	150	200	0.9	0.05	PositionBased	Swap	1225.58	7.972
3	0	150	200	0.9	0.05	OX2	Displacement	887.512	22.807
3	0	150	200	0.9	0.05	OX2	Insertion	992.9	17.17
3	0	150	200	0.9	0.05	OX2	Inversion	805.896	17.136
3	0	150	200	0.9	0.05	OX2	Shuffle	1234.988	11.041
3	0	150	200	0.9	0.05	OX2	Swap	1013.816	14.44
3	0	150	200	0.9	0.05	PMX	Displacement	822.068	7.341
3	0	150	200	0.9	0.05	PMX	Insertion	1003.808	12.495
3	0	150	200	0.9	0.05	PMX	Inversion	782.904	10.345
3	0	150	200	0.9	0.05	PMX	Shuffle	1063.072	6.236
3	0	150	200	0.9	0.05	PMX	Swap	1001.52	9.235
3	0	150	200	0.9	0.05	PositionBased	Displacement	876.412	6.352
3	0	150	200	0.9	0.05	PositionBased	Insertion	1015.968	12.779
3	0	150	200	0.9	0.05	PositionBased	Inversion	803.104	11.125
3	0	150	200	0.9	0.05	PositionBased	Shuffle	1074.02	7.657
3	0	150	200	0.9	0.05	PositionBased	Swap	1011.152	9.357
4	0	150	200	0.9	0.05	OX2	Displacement	978.376	9.34
4	0	150	200	0.9	0.05	OX2	Insertion	1142.608	6.808
4	0	150	200	0.9	0.05	OX2	Inversion	923.692	20.083
4	0	150	200	0.9	0.05	OX2	Shuffle	1270.836	8.734
4	0	150	200	0.9	0.05	OX2	Swap	1182.968	14.305
4	0	150	200	0.9	0.05	PMX	Displacement	910.124	10.168
4	0	150	200	0.9	0.05	PMX	Insertion	1084.412	12.58
4	0	150	200	0.9	0.05	PMX	Inversion	891.596	6.883
4	0	150	200	0.9	0.05	PMX	Shuffle	1149.852	7.239
4	0	150	200	0.9	0.05	PMX	Swap	1261.108	8.519
4	0	150	200	0.9	0.05	PositionBased	Displacement	990.596	7.909
4	0	150	200	0.9	0.05	PositionBased	Insertion	1155.568	13.088
4	0	150	200	0.9	0.05	PositionBased	Inversion	917.044	13.124
4	0	150	200	0.9	0.05	PositionBased	Shuffle	1356.1	5.959
4	0	150	200	0.9	0.05	PositionBased	Swap	1194.32	9.471
5	0	150	200	0.9	0.05	OX2	Displacement	999.784	15.798
5	0	150	200	0.9	0.05	OX2	Insertion	1131.676	18.748
5	0	150	200	0.9	0.05	OX2	Inversion	894.096	23.047
5	0	150	200	0.9	0.05	OX2	Shuffle	1282.944	16.559
5	0	150	200	0.9	0.05	OX2	Swap	1162.804	11.023
5	0	150	200	0.9	0.05	PMX	Displacement	886.984	9.509
5	0	150	200	0.9	0.05	PMX	Insertion	991.26	10.322
5	0	150	200	0.9	0.05	PMX	Inversion	866.968	8.232
5	0	150	200	0.9	0.05	PMX	Shuffle	1133.588	10.433
5	0	150	200	0.9	0.05	PMX	Swap	1131.776	5.475
5	0	150	200	0.9	0.05	PositionBased	Displacement	990.616	14.299
5	0	150	200	0.9	0.05	PositionBased	Insertion	1067.88	10.121
5	0	150	200	0.9	0.05	PositionBased	Inversion	918.8	16.462
5	0	150	200	0.9	0.05	PositionBased	Shuffle	1319.856	5.748
5	0	150	200	0.9	0.05	PositionBased	Swap	1197	6.706
