2024-05-07 21:37:11:9015	../../../files/testListWithPickListSize020.txt
instanceNumber	DistanceMatrixRunningTime	NumberOfStagnantGeneration	PopulationSize	CrossoverProbability	MutationProbability	CrossoverOperator	MutationOperator	TravelledDistance	RunningTime
1	0	50	50	0.6	0.005	PMX	Swap	701.6	0.036
1	0	50	50	0.6	0.05	PMX	Swap	622.504	0.09
1	0	50	50	0.6	0.1	PMX	Swap	490.864	0.092
1	0	50	50	0.9	0.005	PMX	Swap	631.328	0.068
1	0	50	50	0.9	0.05	PMX	Swap	520.876	0.197
1	0	50	50	0.9	0.1	PMX	Swap	521.596	0.079
1	0	50	100	0.6	0.005	PMX	Swap	597.404	0.085
1	0	50	100	0.6	0.05	PMX	Swap	553.86	0.333
1	0	50	100	0.6	0.1	PMX	Swap	534.528	0.081
1	0	50	100	0.9	0.005	PMX	Swap	577.92	0.153
1	0	50	100	0.9	0.05	PMX	Swap	561.408	0.26
1	0	50	100	0.9	0.1	PMX	Swap	500.464	0.206
1	0	50	200	0.6	0.005	PMX	Swap	549.176	0.242
1	0	50	200	0.6	0.05	PMX	Swap	521.476	0.534
1	0	50	200	0.6	0.1	PMX	Swap	537.732	0.325
1	0	50	200	0.9	0.005	PMX	Swap	552.508	0.24
1	0	50	200	0.9	0.05	PMX	Swap	504.308	0.608
1	0	50	200	0.9	0.1	PMX	Swap	534.516	0.415
1	0	150	50	0.6	0.005	PMX	Swap	584.184	0.23
1	0	150	50	0.6	0.05	PMX	Swap	501.44	0.56
1	0	150	50	0.6	0.1	PMX	Swap	494.476	0.178
1	0	150	50	0.9	0.005	PMX	Swap	608.012	0.131
1	0	150	50	0.9	0.05	PMX	Swap	556.112	0.309
1	0	150	50	0.9	0.1	PMX	Swap	507.468	0.363
1	0	150	100	0.6	0.005	PMX	Swap	610.924	0.685
1	0	150	100	0.6	0.05	PMX	Swap	525.468	0.464
1	0	150	100	0.6	0.1	PMX	Swap	553.112	0.41
1	0	150	100	0.9	0.005	PMX	Swap	558.612	0.244
1	0	150	100	0.9	0.05	PMX	Swap	490.156	0.387
1	0	150	100	0.9	0.1	PMX	Swap	510.736	0.36
1	0	150	200	0.6	0.005	PMX	Swap	538.248	0.412
1	0	150	200	0.6	0.05	PMX	Swap	480.488	0.874
1	0	150	200	0.6	0.1	PMX	Swap	467.416	0.45
1	0	150	200	0.9	0.005	PMX	Swap	537.232	1.325
1	0	150	200	0.9	0.05	PMX	Swap	458.876	0.84
1	0	150	200	0.9	0.1	PMX	Swap	519.144	0.551
2	0	50	50	0.6	0.005	PMX	Swap	723.9	0.034
2	0	50	50	0.6	0.05	PMX	Swap	609.892	0.174
2	0	50	50	0.6	0.1	PMX	Swap	577.464	0.071
2	0	50	50	0.9	0.005	PMX	Swap	738.62	0.052
2	0	50	50	0.9	0.05	PMX	Swap	586.344	0.202
2	0	50	50	0.9	0.1	PMX	Swap	577.712	0.092
2	0	50	100	0.6	0.005	PMX	Swap	673.648	0.098
2	0	50	100	0.6	0.05	PMX	Swap	606.436	0.135
2	0	50	100	0.6	0.1	PMX	Swap	551.088	0.398
2	0	50	100	0.9	0.005	PMX	Swap	641.7	0.168
2	0	50	100	0.9	0.05	PMX	Swap	592.004	0.197
2	0	50	100	0.9	0.1	PMX	Swap	541.38	0.223
2	0	50	200	0.6	0.005	PMX	Swap	636.092	0.192
2	0	50	200	0.6	0.05	PMX	Swap	559.936	0.309
2	0	50	200	0.6	0.1	PMX	Swap	523.8	0.349
2	0	50	200	0.9	0.005	PMX	Swap	553.304	0.272
2	0	50	200	0.9	0.05	PMX	Swap	571.636	0.585
2	0	50	200	0.9	0.1	PMX	Swap	521.804	0.414
2	0	150	50	0.6	0.005	PMX	Swap	696.84	0.124
2	0	150	50	0.6	0.05	PMX	Swap	579.16	0.225
2	0	150	50	0.6	0.1	PMX	Swap	571.356	0.181
2	0	150	50	0.9	0.005	PMX	Swap	640.78	0.432
2	0	150	50	0.9	0.05	PMX	Swap	554.892	0.312
2	0	150	50	0.9	0.1	PMX	Swap	552.952	0.153
2	0	150	100	0.6	0.005	PMX	Swap	599.176	0.494
2	0	150	100	0.6	0.05	PMX	Swap	564.212	0.616
2	0	150	100	0.6	0.1	PMX	Swap	543.904	0.313
2	0	150	100	0.9	0.005	PMX	Swap	642.16	0.485
2	0	150	100	0.9	0.05	PMX	Swap	538.512	0.346
2	0	150	100	0.9	0.1	PMX	Swap	541.496	0.266
2	0	150	200	0.6	0.005	PMX	Swap	571.032	1.361
2	0	150	200	0.6	0.05	PMX	Swap	545.5	0.709
2	0	150	200	0.6	0.1	PMX	Swap	513.508	0.573
2	0	150	200	0.9	0.005	PMX	Swap	568	0.914
2	0	150	200	0.9	0.05	PMX	Swap	536.8	0.735
2	0	150	200	0.9	0.1	PMX	Swap	537.796	0.852
3	0	50	50	0.6	0.005	PMX	Swap	794.412	0.027
3	0	50	50	0.6	0.05	PMX	Swap	615.18	0.04
3	0	50	50	0.6	0.1	PMX	Swap	596.98	0.134
3	0	50	50	0.9	0.005	PMX	Swap	653.584	0.044
3	0	50	50	0.9	0.05	PMX	Swap	616.9	0.152
3	0	50	50	0.9	0.1	PMX	Swap	556.044	0.19
