2024-05-08 03:17:37:7982	../../../files/testListWithPickListSize020.txt
instanceNumber	DistanceMatrixRunningTime	NumberOfStagnantGeneration	PopulationSize	CrossoverProbability	MutationProbability	CrossoverOperator	MutationOperator	TravelledDistance	RunningTime
1	0	150	200	0.6	0.1	OX2	Displacement	447.588	1.176
1	0	150	200	0.6	0.1	OX2	Insertion	496.34	1.004
1	0	150	200	0.6	0.1	OX2	Inversion	444.564	0.594
1	0	150	200	0.6	0.1	OX2	Shuffle	479.052	0.852
1	0	150	200	0.6	0.1	OX2	Swap	488.492	1.1
1	0	150	200	0.6	0.1	PMX	Displacement	443.092	0.705
1	0	150	200	0.6	0.1	PMX	Insertion	485.328	0.674
1	0	150	200	0.6	0.1	PMX	Inversion	442.952	0.981
1	0	150	200	0.6	0.1	PMX	Shuffle	480.24	0.591
1	0	150	200	0.6	0.1	PMX	Swap	511.064	0.655
1	0	150	200	0.6	0.1	PositionBased	Displacement	449.144	1.209
1	0	150	200	0.6	0.1	PositionBased	Insertion	479.516	1.401
1	0	150	200	0.6	0.1	PositionBased	Inversion	440.984	0.751
1	0	150	200	0.6	0.1	PositionBased	Shuffle	509.024	1.623
1	0	150	200	0.6	0.1	PositionBased	Swap	491.892	0.689
2	0	150	200	0.6	0.1	OX2	Displacement	513.932	3.522
2	0	150	200	0.6	0.1	OX2	Insertion	524.34	0.801
2	0	150	200	0.6	0.1	OX2	Inversion	504.176	1.266
2	0	150	200	0.6	0.1	OX2	Shuffle	537.388	1.562
2	0	150	200	0.6	0.1	OX2	Swap	535.72	1.259
2	0	150	200	0.6	0.1	PMX	Displacement	508.416	1.33
2	0	150	200	0.6	0.1	PMX	Insertion	521.144	0.576
2	0	150	200	0.6	0.1	PMX	Inversion	504.812	0.69
2	0	150	200	0.6	0.1	PMX	Shuffle	527.524	0.515
2	0	150	200	0.6	0.1	PMX	Swap	582.492	0.513
2	0	150	200	0.6	0.1	PositionBased	Displacement	509.384	0.839
2	0	150	200	0.6	0.1	PositionBased	Insertion	513.312	1.254
2	0	150	200	0.6	0.1	PositionBased	Inversion	509.548	1.006
2	0	150	200	0.6	0.1	PositionBased	Shuffle	553.336	0.554
2	0	150	200	0.6	0.1	PositionBased	Swap	516.048	0.683
3	0	150	200	0.6	0.1	OX2	Displacement	510.32	2.117
3	0	150	200	0.6	0.1	OX2	Insertion	524.096	0.691
3	0	150	200	0.6	0.1	OX2	Inversion	505.872	1.08
3	0	150	200	0.6	0.1	OX2	Shuffle	588.308	1.626
3	0	150	200	0.6	0.1	OX2	Swap	534.968	0.991
3	0	150	200	0.6	0.1	PMX	Displacement	507.988	0.899
3	0	150	200	0.6	0.1	PMX	Insertion	528.668	1.245
3	0	150	200	0.6	0.1	PMX	Inversion	515.156	0.759
3	0	150	200	0.6	0.1	PMX	Shuffle	530.7	0.522
3	0	150	200	0.6	0.1	PMX	Swap	548.032	0.451
3	0	150	200	0.6	0.1	PositionBased	Displacement	512.188	0.972
3	0	150	200	0.6	0.1	PositionBased	Insertion	544.164	0.612
3	0	150	200	0.6	0.1	PositionBased	Inversion	499.828	0.529
3	0	150	200	0.6	0.1	PositionBased	Shuffle	555.904	0.492
3	0	150	200	0.6	0.1	PositionBased	Swap	518.944	0.792
4	0	150	200	0.6	0.1	OX2	Displacement	490.764	3.004
4	0	150	200	0.6	0.1	OX2	Insertion	490.22	1.054
4	0	150	200	0.6	0.1	OX2	Inversion	487.168	1.302
4	0	150	200	0.6	0.1	OX2	Shuffle	526.54	0.869
4	0	150	200	0.6	0.1	OX2	Swap	518.084	1.259
4	0	150	200	0.6	0.1	PMX	Displacement	486.432	1.785
4	0	150	200	0.6	0.1	PMX	Insertion	489.524	0.653
4	0	150	200	0.6	0.1	PMX	Inversion	490.408	0.555
4	0	150	200	0.6	0.1	PMX	Shuffle	518.66	1.149
4	0	150	200	0.6	0.1	PMX	Swap	553.668	0.505
4	0	150	200	0.6	0.1	PositionBased	Displacement	485.928	1.118
4	0	150	200	0.6	0.1	PositionBased	Insertion	503.888	0.893
4	0	150	200	0.6	0.1	PositionBased	Inversion	484.936	1.656
4	0	150	200	0.6	0.1	PositionBased	Shuffle	513.988	2.641
4	0	150	200	0.6	0.1	PositionBased	Swap	516.256	0.927
5	0	150	200	0.6	0.1	OX2	Displacement	526.04	1.546
5	0	150	200	0.6	0.1	OX2	Insertion	537.112	0.971
5	0	150	200	0.6	0.1	OX2	Inversion	519.484	1.534
5	0	150	200	0.6	0.1	OX2	Shuffle	558.6	0.874
5	0	150	200	0.6	0.1	OX2	Swap	547.068	1.896
5	0	150	200	0.6	0.1	PMX	Displacement	520.112	0.917
5	0	150	200	0.6	0.1	PMX	Insertion	521.6	0.771
5	0	150	200	0.6	0.1	PMX	Inversion	520.12	0.986
5	0	150	200	0.6	0.1	PMX	Shuffle	526.768	0.899
5	0	150	200	0.6	0.1	PMX	Swap	543.884	0.514
5	0	150	200	0.6	0.1	PositionBased	Displacement	520.724	0.774
5	0	150	200	0.6	0.1	PositionBased	Insertion	559.372	1.399
5	0	150	200	0.6	0.1	PositionBased	Inversion	520.096	0.893
5	0	150	200	0.6	0.1	PositionBased	Shuffle	552.944	0.776
5	0	150	200	0.6	0.1	PositionBased	Swap	523.568	0.603
